,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
976,2018 Maruti Baleno,2018,Apr-18,Petrol,96850,1197 cc,1st Owner,HR72,Manual,Third Party insurance,560000,588000,684273,21.4 kmpl,5,Other,1197 CC,83.1bhp,115Nm
977,2016 Maruti Wagon R,2016,Feb-16,Petrol,63691,998 cc,1st Owner,DL14,Manual,Third Party insurance,285000,299250,453597,20.51 kmpl,5,White,998 CC,67.04bhp,90Nm
978,2010 Chevrolet Spark,2010,Apr-10,LPG,82017,995 cc,2nd Owner,UP70,Manual,Third Party insurance,106000,111300,429517,13.2 kmpl,13,5,995 CC,60.2bhp,90.3Nm
979,2017 Maruti Ciaz,2017,May-17,Petrol,60437,1373 cc,1st Owner,DL10,Automatic,Not Available,692500,727125,1234550,19.12 kmpl,16,5,1373 CC,91.1bhp,130Nm
980,2014 Hyundai Verna,2014,May-14,Petrol,60062,1591 cc,2nd Owner,DL7C,Manual,Third Party insurance,502000,527100,1194501,17.01 kmpl,16,5,1591 CC,121.3bhp,154.9Nm
981,2020 Maruti S-Presso,2020,Mar-20,Petrol,2293,998 cc,1st Owner,UP16,Automatic,Third Party insurance,469500,492975,601015,21.7 kmpl,5,Grey,998 CC,67.05bhp,90nm
982,2019 Hyundai Santro,2018,Jan-19,Petrol,#VALUE!,1086 cc,1st Owner,HR51,Manual,Third Party insurance,462500,485625,558820,20.3 kmpl,5,White,1086 CC,68bhp,99Nm
983,2014 Maruti Ertiga,2014,Dec-14,Petrol,58640,1373 cc,1st Owner,DL1C,Manual,Third Party insurance,486420,510741,777045,16.02 kmpl,7,Silver,1373 CC,93.7bhp,130Nm
984,2013 Maruti Ertiga,2013,Jun-13,Petrol,29077,1373 cc,1st Owner,DL8C,Manual,Third Party insurance,448500,470925,926583,17.5 kmpl,7,Other,1373 CC,91.1bhp,130Nm
985,2011 Maruti Zen Estilo,2011,Apr-11,Petrol,17520,998 cc,1st Owner,DL09,Manual,Third Party insurance,245500,257775,403885,19 kmpl,13,5,998 CC,67.1bhp,90Nm
986,2016 Datsun RediGO,2016,Dec-16,Petrol,60957,799 cc,1st Owner,DL01,Manual,Third Party insurance,195000,204750,407305,22.7 kmpl,5,Other,799 CC,53.64bhp,72Nm
987,2017 Maruti Wagon R,2017,Oct-17,Petrol,40129,998 cc,1st Owner,UP16,Manual,Third Party insurance,311000,326550,477957,20.51 kmpl,5,Silver,998 CC,67.04bhp,90Nm
988,2013 Nissan Sunny,2013,May-13,Diesel,54251,1461 cc,1st Owner,DL8C,Manual,Third Party insurance,230000,241500,958301,21.64 kmpl,14,5,1461 CC,84.8bhp,200Nm
989,2010 Maruti Alto,2010,Jun-10,Petrol,95404,796 cc,1st Owner,UP16,Manual,Third Party insurance,139000,145950,332287,19.7 kmpl,12,5,796 CC,46.3bhp,62Nm
990,2014 Maruti Ertiga,2014,Aug-14,Diesel,72395,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,537000,563850,927593,20.77 kmpl,7,Grey,1248 CC,88.76bhp,200Nm
991,2019 Mahindra XUV300,2019,Mar-19,Petrol,11330,1197 cc,1st Owner,DL10,Manual,Third Party insurance,779500,818475,1022437,17 kmpl,5,Silver,1197 CC,108.6bhp,200Nm
992,2016 Renault KWID,2016,May-16,Petrol,7421,799 cc,1st Owner,DL01,Manual,Third Party insurance,294000,308700,395388,25.17 kmpl,5,Red,799 CC,53.3bhp,72Nm
993,2017 Hyundai Verna,2017,Sep-17,Diesel,40599,1396 cc,1st Owner,HR26,Manual,Third Party insurance,637000,668850,1041495,24.8 kmpl,5,Other,1396 CC,88.7bhp,219.7Nm
994,2012 Tata Nano,2012,Apr-12,Petrol,27236,624 cc,2nd Owner,DL4C,Manual,Third Party insurance,779500,818475,1022437,25.4 kmpl,4,Silver,624 CC,37.48bhp,51Nm
995,2011 Maruti Alto,2011,Sep-11,Petrol,39756,796 cc,2nd Owner,DL8C,Manual,Third Party insurance,294000,308700,395388,19.7 kmpl,12,5,796 CC,46.3bhp,62Nm
996,2017 Hyundai Creta,2017,Sep-17,Diesel,48067,1396 cc,1st Owner,HR51,Manual,Third Party insurance,760000,798000,1127362,22.1 kmpl,5,Other,1396 CC,88.7bhp,219.7Nm
997,2017 Hyundai Creta,2017,Sep-17,Diesel,51742,1582 cc,1st Owner,HR29,Automatic,Third Party insurance,986500,1035825,1571702,17.01 kmpl,16,5,1582 CC,126.2bhp,259.9Nm
