,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
311,2014 Honda City,2014,Dec-14,Petrol,98390,1498 cc,1st Owner,HR26,Manual,Third Party insurance,583500,612675,1426816,17.8 kmpl,R16,5,1498 CC,119.35bhp,145nm
312,2015 Hyundai i20,2015,Feb-15,Diesel,59646,1396 cc,1st Owner,DL12,Manual,Third Party insurance,544668,571901,900126,22.54 kmpl,16,5,1396 CC,88.73bhp,219.7Nm
313,2018 Maruti Vitara Brezza,2018,Nov-18,Diesel,37901,1248 cc,1st Owner,10 2021,Automatic,Automatic,906000,951300,1061702,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
314,2015 Maruti Swift Dzire,2015,Nov-15,Diesel,66420,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,410000,430500,724227,26.59 kmpl,5,Grey,1248 CC,74bhp,190Nm
315,2016 Maruti Vitara Brezza,2016,Dec-16,Diesel,78612,1248 cc,1st Owner,DL3C,Manual,Not Available,631500,663075,903820,24.3 kmpl,5,Red,1248 CC,88.5bhp,200Nm
316,2016 Hyundai i20,2016,Oct-16,Diesel,78612,1396 cc,1st Owner,DL2C,Manual,Third Party insurance,479976,503975,885355,22.54 kmpl,5,Other,1396 CC,88.73bhp,219.7Nm
317,2016 Ford Ecosport,2016,Nov-16,Diesel,85775,1498 cc,1st Owner,DL10,Manual,Third Party insurance,586500,615825,1041499,21.7 kmpl,5,White,1498 CC,98.96bhp,215Nm
318,2011 Toyota Etios Liva,2011,Feb-11,Petrol,85775,1197 cc,1st Owner,DL14,Manual,Third Party insurance,270000,283500,704996,18.3 kmpl,15,5,1197 CC,78.9bhp,104Nm
319,2019 Hyundai Xcent,2018,May-19,Diesel,45989,1186 cc,1st Owner,DL2C,Manual,Third Party insurance,460000,483000,781394,25.4 kmpl,5,White,1186 CC,73.97bhp,190.24nm
320,2020 Tata Tiago,2019,Jan-20,Petrol,9545,1199 cc,1st Owner,DL2C,Manual,Not Available,548739,576176,593068,23.84 kmpl,5,Other,1199 CC,83.83bhp,114Nm
321,2016 Honda Jazz,2015,Jun-16,Diesel,9545,1498 cc,1st Owner,DL4C,Manual,Third Party insurance,696000,730800,924763,27.3 kmpl,5,Other,1498 CC,98.6bhp,200Nm
322,2014 Honda City,2014,Jan-14,Diesel,65911,1498 cc,2nd Owner,DL4C,Manual,Third Party insurance,482190,506300,1266426,26 kmpl,15,5,1498 CC,98.6bhp,200Nm
323,2014 Maruti Swift Dzire,2014,Dec-14,Petrol,65911,1197 cc,1st Owner,DL4C,Manual,Not Available,416500,437325,618697,19.1 kmpl,14,5,1197 CC,85.8bhp,114Nm
324,2014 Maruti Swift,2014,Mar-14,Diesel,72627,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,414000,434700,798110,28.4 kmpl,5,Silver,1248 CC,74bhp,190Nm
325,2015 Honda Jazz,2015,Sep-15,Petrol,61289,1199 cc,2nd Owner,DL12,Manual,Third Party insurance,433458,455131,750828,18.7 kmpl,5,White,1199 CC,88.7bhp,110Nm
326,2014 Maruti Ciaz,2014,Dec-14,Diesel,96723,1248 cc,1st Owner,DL6C,Manual,Third Party insurance,490500,515025,1016745,26.21 kmpl,5,Other,1248 CC,88.5bhp,200Nm
327,2016 Maruti Baleno,2016,May-16,Petrol,58078,1197 cc,1st Owner,DL2C,Manual,Not Available,520500,546525,770868,21.01 kmpl,5,White,1197 CC,81.80bhp,113Nm
328,2012 Maruti Swift,2012,May-12,Diesel,36586,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,343000,360150,717885,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
329,2015 Hyundai Verna,2015,Apr-15,Diesel,33619,1582 cc,1st Owner,UP14,Manual,Not Available,614000,644700,1248939,23.9 kmpl,16,5,1582 CC,126.32bhp,259.8Nm
330,2016 Maruti Swift,2016,Jul-16,Petrol,49881,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,428500,449925,529062,20.4 kmpl,5,Other,1197 CC,81.80bhp,113Nm
331,2019 Maruti Alto 800,2019,Mar-19,Petrol,25903,796 cc,1st Owner,DL1C,Manual,Third Party insurance,317000,332850,341819,24.7 kmpl,5,Other,796 CC,47.3bhp,69Nm
332,2016 Maruti Swift,2015,Apr-16,Diesel,58562,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,416000,436800,659939,25.2 kmpl,5,Other,1248 CC,74bhp,190Nm
333,2014 Maruti Swift,2014,Apr-14,Diesel,43955,1248 cc,1st Owner,3 2022,Automatic,Manual,340000,357000,715853,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
334,2018 Maruti Alto K10,2018,Apr-18,Petrol,47399,998 cc,1st Owner,DL2C,Manual,Third Party insurance,347136,364493,431144,23.95 kmpl,5,Grey,998 CC,67.05bhp,90Nm
335,2017 Maruti Swift,2016,Jan-17,Diesel,60637,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,462000,485100,755766,25.2 kmpl,5,Other,1248 CC,74bhp,190Nm
336,2019 Maruti Alto K10,2019,Oct-19,Petrol,7888,998 cc,1st Owner,DL1C,Manual,Third Party insurance,414500,435225,431144,23.95 kmpl,5,Other,998 CC,67.05bhp,90Nm
337,2015 Honda Brio,2014,Apr-15,Petrol,26813,1198 cc,1st Owner,DL10,Automatic,Third Party insurance,510366,535884,765998,16.5 kmpl,14,5,1198 CC,86.8bhp,109Nm
338,2013 Maruti Swift,2013,Apr-13,Diesel,55537,1248 cc,1st Owner,DL13,Manual,Third Party insurance,312500,328125,724868,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
339,2012 Maruti Swift,2012,Mar-12,Petrol,25394,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,371500,390075,548912,18.6 kmpl,14,5,1197 CC,85.8bhp,114Nm
340,2012 Volkswagen Vento,2012,Sep-12,Diesel,85123,1598 cc,1st Owner,DL10,Manual,Third Party insurance,307500,322875,1209038,20.54 kmpl,15,5,1598 CC,103.6bhp,250Nm
341,2013 Maruti Swift Dzire,2013,Jun-13,Diesel,75361,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,387000,406350,772281,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
342,2017 Maruti Ciaz,2016,Mar-17,Diesel,76072,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,538000,564900,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
343,2018 Maruti Swift,2018,Nov-18,Diesel,67922,1248 cc,1st Owner,HR13,Manual,Third Party insurance,525000,551250,661979,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
344,2016 Maruti Baleno,2016,Jul-16,Diesel,47156,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,558168,586076,989915,27.39 kmpl,R16,5,1248 CC,74bhp,190Nm
345,2018 Hyundai i20,2018,Apr-18,Petrol,10443,1197 cc,1st Owner,DL4C,Manual,Third Party insurance,603000,633150,680953,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
346,2017 Maruti Vitara Brezza,2017,Mar-17,Diesel,82513,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,730752,767290,1016982,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
347,2013 Maruti Swift Dzire,2013,Sep-13,Diesel,82513,1248 cc,1st Owner,DL13,Manual,Third Party insurance,280000,294000,663165,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
348,2013 Hyundai i10,2013,Mar-13,Petrol,47884,1197 cc,2nd Owner,DL7C,Manual,Third Party insurance,269500,282975,508741,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
349,2016 Maruti Baleno,2015,Jan-16,Diesel,63529,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,550000,577500,989915,27.39 kmpl,R16,5,1248 CC,74bhp,190Nm
350,2020 Maruti S-Presso,2019,Mar-20,Petrol,10020,998 cc,1st Owner,HR87,Manual,Third Party insurance,426000,447300,510000,21.7 kmpl,5,Orange,998 CC,67.05bhp,90nm
351,2013 Hyundai Verna,2013,Jan-13,Diesel,69239,1582 cc,1st Owner,DL8C,Manual,Third Party insurance,414000,434700,1232294,22.32 kmpl,16,5,1582 CC,126.32bhp,259.8Nm
352,2013 Maruti Swift Dzire,2013,Nov-13,Diesel,54025,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,413243,433905,772281,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
353,2016 Maruti Ciaz,2016,Jun-16,Diesel,69653,1248 cc,2nd Owner,DL1C,Manual,Third Party insurance,621500,652575,1013340,28.09 kmpl,15,5,1248 CC,88.5bhp,200Nm
354,2015 Maruti Swift Dzire,2014,Jan-15,Diesel,98563,1248 cc,1st Owner,DL1C,Manual,Third Party insurance,417000,437850,824977,26.59 kmpl,5,Other,1248 CC,74bhp,190Nm
355,2015 Ford Ecosport,2015,Dec-15,Diesel,87208,1498 cc,1st Owner,HR10,Manual,Third Party insurance,539500,566475,1049387,23 kmpl,5,White,1498 CC,98.96bhp,205Nm
356,2015 Honda City,2015,Jan-15,Diesel,57857,1498 cc,1st Owner,DL12,Manual,Third Party insurance,561500,589575,1266426,26 kmpl,15,5,1498 CC,98.6bhp,200Nm
357,2017 Maruti Baleno,2017,May-17,Petrol,39462,1197 cc,1st Owner,DL2C,Automatic,Third Party insurance,568000,596400,818906,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
358,2017 Maruti Vitara Brezza,2017,Apr-17,Diesel,58713,1248 cc,1st Owner,HR19,Manual,Third Party insurance,667500,700875,884878,24.3 kmpl,5,Grey,1248 CC,88.5bhp,200Nm
359,2011 Hyundai i10,2011,May-11,Petrol,55107,1197 cc,2nd Owner,HR26,Automatic,Third Party insurance,299000,313950,586549,16.95 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
360,2013 Maruti Swift,2013,Nov-13,Diesel,74496,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,303283,318447,613393,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
361,2019 Maruti Alto K10,2019,Feb-19,Petrol,4383,998 cc,1st Owner,DL3C,Manual,Third Party insurance,378500,397425,416865,23.95 kmpl,5,White,998 CC,67.05bhp,90Nm
362,2012 Maruti Swift Dzire,2012,Mar-12,Diesel,4383,1248 cc,1st Owner,HR51,Manual,Third Party insurance,313500,329175,764834,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
363,2013 Maruti Swift,2013,Nov-13,Diesel,92225,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,363843,382035,724868,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
364,2017 Hyundai Verna,2016,Jan-17,Diesel,92225,1582 cc,1st Owner,DL8C,Manual,Third Party insurance,622000,653100,1325779,23.9 kmpl,16,5,1582 CC,126.2bhp,259.9Nm
365,2017 Hyundai i20,2017,Aug-17,Diesel,68644,1396 cc,1st Owner,DL3C,Manual,Third Party insurance,655500,688275,1060880,22.54 kmpl,16,5,1396 CC,88.73bhp,219.7Nm
366,2012 Hyundai i20,2012,Feb-12,Diesel,86803,1396 cc,1st Owner,DL2C,Manual,Third Party insurance,295000,309750,810247,21.9 kmpl,14,5,1396 CC,88.76bhp,219.6Nm
367,2019 Maruti Baleno,2019,Apr-19,Petrol,27729,1197 cc,1st Owner,HR26,Manual,Third Party insurance,655000,687750,845259,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
368,2017 Maruti Ciaz,2017,Oct-17,Petrol,24238,1373 cc,2nd Owner,DL8C,Manual,Third Party insurance,690414,724935,910329,20.73 kmpl,5,Other,1373 CC,91.1bhp,130Nm
369,2013 Maruti Swift,2012,Jan-13,Diesel,82325,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,349000,366450,724868,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
370,2018 Maruti Ignis,2018,Jul-18,Petrol,31692,1197 cc,1st Owner,DL8C,Manual,Third Party insurance,501984,527083,588386,20.89 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
371,2016 Maruti Wagon R,2016,Dec-16,Petrol,66058,998 cc,2nd Owner,HR26,Automatic,Third Party insurance,365500,383775,540038,20.51 kmpl,5,Grey,998 CC,67bhp,90Nm
372,2012 Maruti Alto K10,2012,Nov-12,Petrol,15979,998 cc,1st Owner,11 2021,Automatic,Manual,220000,231000,346530,20.92 kmpl,13,5,998 CC,67.1bhp,90Nm
373,2014 Ford Ecosport,2014,Dec-14,Diesel,63247,1498 cc,1st Owner,12 2021,Automatic,Manual,537500,564375,1126257,21.7 kmpl,R16,5,1498 CC,98.96bhp,215Nm
374,2017 Maruti Baleno,2017,Dec-17,Diesel,66476,1248 cc,1st Owner,DL6C,Manual,Not Available,570000,598500,949889,27.39 kmpl,16,5,1248 CC,74bhp,190Nm
375,2018 Hyundai Grand i10,2018,May-18,Petrol,12697,1197 cc,1st Owner,DL4C,Manual,Not Available,496500,521325,704091,18.9 kmpl,5,Other,1197 CC,81.86bhp,113.75nm
376,2017 Maruti Ciaz,2017,Jul-17,Diesel,89418,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,565000,593250,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
377,2013 Honda Brio,2013,Jul-13,Petrol,79651,1198 cc,2nd Owner,DL4C,Manual,Third Party insurance,272500,286125,531159,19.4 kmpl,5,Other,1198 CC,86.8bhp,109Nm
378,2012 Toyota Etios,2012,Aug-12,Diesel,67585,1364 cc,1st Owner,HR29,Manual,Third Party insurance,297000,311850,903525,23.59 kmpl,White,,1364 CC,15,5
379,2016 Maruti Wagon R,2016,Dec-16,Petrol,66058,998 cc,2nd Owner,HR26,Automatic,Third Party insurance,365500,383775,540038,20.51 kmpl,5,Grey,998 CC,67bhp,90Nm
380,2012 Maruti Alto K10,2012,Nov-12,Petrol,15979,998 cc,1st Owner,11 2021,Automatic,Manual,220000,231000,346530,20.92 kmpl,13,5,998 CC,67.1bhp,90Nm
381,2014 Ford Ecosport,2014,Dec-14,Diesel,63247,1498 cc,1st Owner,12 2021,Automatic,Manual,537500,564375,1126257,21.7 kmpl,R16,5,1498 CC,98.96bhp,215Nm
382,2017 Maruti Baleno,2017,Dec-17,Diesel,66476,1248 cc,1st Owner,DL6C,Manual,Not Available,570000,598500,949889,27.39 kmpl,16,5,1248 CC,74bhp,190Nm
383,2018 Hyundai Grand i10,2018,May-18,Petrol,12697,1197 cc,1st Owner,DL4C,Manual,Not Available,496500,521325,704091,18.9 kmpl,5,Other,1197 CC,81.86bhp,113.75nm
384,2017 Maruti Ciaz,2017,Jul-17,Diesel,89418,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,565000,593250,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
385,2013 Honda Brio,2013,Jul-13,Petrol,79651,1198 cc,2nd Owner,DL4C,Manual,Third Party insurance,272500,286125,531159,19.4 kmpl,5,Other,1198 CC,86.8bhp,109Nm
386,2014 Maruti Swift,2014,Mar-14,Diesel,72627,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,414000,434700,798110,28.4 kmpl,5,Silver,1248 CC,74bhp,190Nm
387,2012 Toyota Etios,2012,Aug-12,Diesel,67585,1364 cc,1st Owner,HR29,Manual,Third Party insurance,297000,311850,903525,23.59 kmpl,White,,1364 CC,15,5
388,2016 Maruti Swift,2016,Jul-16,Petrol,49881,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,428500,449925,529062,20.4 kmpl,5,Other,1197 CC,81.80bhp,113Nm
389,2013 Maruti Swift Dzire,2013,Jul-13,Diesel,93558,1248 cc,2nd Owner,DL3C,Manual,Third Party insurance,300000,315000,663165,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
390,2014 Hyundai Xcent,2014,Jun-14,Diesel,92705,1186 cc,1st Owner,DL8C,Manual,Third Party insurance,285000,299250,847726,25.4 kmpl,5,Silver,1186 CC,73.97bhp,190.25nm
391,2017 Maruti Swift,2017,Sep-17,Petrol,42412,1197 cc,1st Owner,DL4C,Manual,Not Available,440000,462000,529062,20.4 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
392,2013 Hyundai Verna,2013,Dec-13,Diesel,66997,1396 cc,1st Owner,DL9C,Manual,Third Party insurance,425000,446250,1037801,23.5 kmpl,15,5,1396 CC,88.7bhp,219.9Nm
393,2018 Hyundai i20,2018,Aug-18,Petrol,42964,1197 cc,1st Owner,UP14,Manual,Third Party insurance,600000,630000,747935,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
394,2013 Hyundai Verna,2013,Oct-13,Diesel,83401,1582 cc,1st Owner,DL1C,Manual,Third Party insurance,427000,448350,1232294,22.32 kmpl,16,5,1582 CC,126.32bhp,259.8Nm
395,2017 Maruti Ciaz,2016,Mar-17,Diesel,76072,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,538000,564900,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
396,2017 Maruti Ignis,2017,Feb-17,Petrol,23615,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,470000,493500,588386,20.89 kmpl,5,Other,1197 CC,81.80bhp,113Nm
397,2017 Maruti Alto 800,2017,Nov-17,Petrol,47311,796 cc,1st Owner,HR23,Manual,Third Party insurance,240000,252000,443215,22.05 kmpl,5,White,796 CC,47.33bhp,69Nm
398,2011 Hyundai i10,2011,Nov-11,Petrol,41311,1197 cc,1st Owner,DL10,Manual,Third Party insurance,266500,279825,508741,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
399,2014 Honda City,2014,Feb-14,Diesel,92150,1498 cc,1st Owner,DL13,Manual,Third Party insurance,524500,550725,1190405,26 kmpl,5,Other,1498 CC,98.6bhp,200Nm
400,2014 Hyundai Xcent,2014,Jun-14,Diesel,92705,1186 cc,1st Owner,DL8C,Manual,Third Party insurance,285000,299250,847726,25.4 kmpl,5,Silver,1186 CC,73.97bhp,190.25nm
401,2017 Maruti Swift,2017,Sep-17,Petrol,42412,1197 cc,1st Owner,DL4C,Manual,Not Available,440000,462000,529062,20.4 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
402,2013 Hyundai Verna,2013,Dec-13,Diesel,66997,1396 cc,1st Owner,DL9C,Manual,Third Party insurance,425000,446250,1037801,23.5 kmpl,15,5,1396 CC,88.7bhp,219.9Nm
403,2018 Hyundai i20,2018,Aug-18,Petrol,42964,1197 cc,1st Owner,UP14,Manual,Third Party insurance,600000,630000,747935,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
404,2013 Hyundai Verna,2013,Oct-13,Diesel,83401,1582 cc,1st Owner,DL1C,Manual,Third Party insurance,427000,448350,1232294,22.32 kmpl,16,5,1582 CC,126.32bhp,259.8Nm
405,2017 Maruti Ignis,2017,Feb-17,Petrol,23615,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,470000,493500,588386,20.89 kmpl,5,Other,1197 CC,81.80bhp,113Nm
406,2017 Maruti Alto 800,2017,Nov-17,Petrol,47311,796 cc,1st Owner,HR23,Manual,Third Party insurance,240000,252000,443215,22.05 kmpl,5,White,796 CC,47.33bhp,69Nm
407,2011 Hyundai i10,2011,Nov-11,Petrol,41311,1197 cc,1st Owner,DL10,Manual,Third Party insurance,266500,279825,508741,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
408,2014 Maruti Swift Dzire,2014,Mar-14,Diesel,64103,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,370000,388500,764834,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
409,2015 Hyundai Grand i10,2015,Dec-15,Petrol,32105,1197 cc,2nd Owner,DL8C,Automatic,Third Party insurance,477134,500991,732551,18.9 kmpl,14,5,1197 CC,82bhp,114Nm
410,2017 Hyundai i20,2017,Aug-17,Petrol,16001,1197 cc,1st Owner,8 2021,Automatic,Manual,615000,645750,808857,18.6 kmpl,16,5,1197 CC,81.83bhp,114.7Nm
411,2014 Maruti Swift Dzire,2014,Dec-14,Diesel,49470,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,330000,346500,772281,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
412,2016 Hyundai Verna,2016,Mar-16,Petrol,60820,1591 cc,1st Owner,DL10,Manual,Third Party insurance,637000,668850,1000201,17.01 kmpl,5,Other,1591 CC,121.3bhp,154.9Nm
413,2013 Maruti Swift Dzire,2013,May-13,Diesel,82171,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,339737,356724,680532,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
414,2013 Maruti Wagon R Stingray,2013,Oct-13,Petrol,44660,998 cc,1st Owner,DL5C,Manual,Third Party insurance,270000,283500,500291,20.51 kmpl,14,5,998 CC,67.04bhp,90Nm
415,2014 Maruti Swift Dzire,2014,Aug-14,Petrol,23518,1197 cc,1st Owner,DL14,Manual,Third Party insurance,396654,416487,656611,20.85 kmpl,5,Silver,1197 CC,83.14bhp,115Nm
416,2014 Ford Ecosport,2014,May-14,Diesel,23518,1498 cc,1st Owner,DL1C,Manual,Third Party insurance,420000,441000,1093783,22.7 kmpl,16,5,1498 CC,89.84bhp,204Nm
417,2014 Maruti Swift,2014,Jul-14,Diesel,75526,1248 cc,1st Owner,UP16,Manual,Third Party insurance,350000,367500,790410,28.4 kmpl,5,White,1248 CC,74bhp,190Nm
418,2020 Maruti Wagon R,2019,Feb-20,Petrol,14720,1197 cc,1st Owner,2 2022,Automatic,Automatic,551000,578550,693338,20.52 kmpl,5,White,1197 CC,81.80bhp,113Nm
419,2014 Maruti Wagon R,2014,May-14,Petrol,64651,998 cc,1st Owner,UP80,Manual,Third Party insurance,300000,315000,618331,21.79 kmpl,5,White,998 CC,67.05bhp,90Nm
420,2016 Mahindra TUV 300,2016,Feb-16,Diesel,28313,1493 cc,1st Owner,DL10,Manual,Third Party insurance,550500,578025,1082487,18.49 kmpl,15,7,1493 CC,100bhp,240Nm
421,2019 Hyundai Grand i10,2019,Dec-19,Petrol,23943,1197 cc,1st Owner,DL1C,Manual,Third Party insurance,494000,518700,665921,18.9 kmpl,5,Silver,1197 CC,81.86bhp,113.75nm
422,2014 Nissan Terrano,2014,Oct-14,Diesel,85542,1461 cc,2nd Owner,HR26,Manual,Not Available,431500,453075,1531097,19.01 kmpl,16,5,1461 CC,108.5bhp,248Nm
423,2017 Honda Amaze,2017,Jul-17,Petrol,15703,1198 cc,2nd Owner,DL9C,Manual,Third Party insurance,540500,567525,729793,17.8 kmpl,5,Other,1198 CC,86.7bhp,109Nm
424,2013 Honda Amaze,2013,Jun-13,Diesel,15703,1498 cc,1st Owner,DL9C,Manual,Third Party insurance,252500,265125,715628,25.8 kmpl,5,Other,1498 CC,98.6bhp,200Nm
425,2016 Maruti Ciaz,2016,Oct-16,Diesel,78494,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,520000,546000,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
426,2018 Hyundai i20,2018,Mar-18,Petrol,40899,1197 cc,1st Owner,3 2022,Automatic,Manual,645000,677250,742016,18.6 kmpl,5,Other,1197 CC,81.83bhp,114.7Nm
427,2015 Toyota Etios Liva,2014,Jan-15,Diesel,67058,1364 cc,1st Owner,DL2F,Manual,Third Party insurance,429311,450777,749186,23.59 kmpl,5,Other,1364 CC,67.04bhp,170Nm
428,2018 Maruti Swift,2018,Dec-18,Diesel,27038,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,530000,556500,662597,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
429,2013 Maruti Swift Dzire,2013,Jul-13,Diesel,93558,1248 cc,2nd Owner,DL3C,Manual,Third Party insurance,300000,315000,663165,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
430,2018 Maruti Baleno,2018,Oct-18,Petrol,55956,1197 cc,1st Owner,HR51,Manual,Third Party insurance,490000,514500,775767,21.01 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
431,2019 Maruti Ciaz,2017,Feb-19,Petrol,24237,1373 cc,2nd Owner,UP14,Manual,Third Party insurance,650000,682500,1073945,20.73 kmpl,16,5,1373 CC,91.1bhp,130Nm
432,2018 Maruti Vitara Brezza,2018,Apr-18,Diesel,82299,1248 cc,2nd Owner,DL3C,Manual,Third Party insurance,696500,731325,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
433,2018 Tata Tiago,2018,May-18,Petrol,43855,1199 cc,1st Owner,DL10,Automatic,Third Party insurance,467826,491217,642326,23.84 kmpl,14,5,1199 CC,83.83bhp,114Nm
434,2015 Hyundai i20,2015,Feb-15,Diesel,79553,1396 cc,1st Owner,DL4C,Manual,Third Party insurance,475000,498750,940506,22.54 kmpl,16,5,1396 CC,88.73bhp,219.7Nm
435,2012 Hyundai i10,2012,Jun-12,Petrol,64543,1197 cc,1st Owner,DL2C,Automatic,Third Party insurance,326000,342300,586549,16.95 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
436,2016 Hyundai i20,2016,Aug-16,Petrol,27045,1197 cc,1st Owner,HR51,Manual,Third Party insurance,576000,604800,748579,18.6 kmpl,5,Silver,1197 CC,81.83bhp,114.7Nm
437,2017 Maruti Alto K10,2016,Feb-17,Petrol,50097,998 cc,1st Owner,HR26,Manual,Third Party insurance,260000,273000,413462,23.95 kmpl,5,Grey,998 CC,67.05bhp,90Nm
438,2017 Honda Amaze,2017,Aug-17,Petrol,65080,1198 cc,2nd Owner,DL10,Manual,Third Party insurance,405000,425250,697266,17.8 kmpl,5,Brown,1198 CC,86.7bhp,109Nm
439,2013 Honda Amaze,2013,Jun-13,Diesel,13466,1498 cc,1st Owner,DL9C,Manual,Third Party insurance,252500,265125,715628,25.8 kmpl,5,Other,1498 CC,98.6bhp,200Nm
440,2016 Maruti Ciaz,2016,Oct-16,Diesel,78494,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,520000,546000,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
441,2018 Hyundai i20,2018,Mar-18,Petrol,40899,1197 cc,1st Owner,3 2022,Automatic,Manual,645000,677250,742016,18.6 kmpl,5,Other,1197 CC,81.83bhp,114.7Nm
442,2015 Toyota Etios Liva,2014,Jan-15,Diesel,67058,1364 cc,1st Owner,DL2F,Manual,Third Party insurance,429311,450777,749186,23.59 kmpl,5,Other,1364 CC,67.04bhp,170Nm
443,2018 Maruti Baleno,2018,Oct-18,Petrol,55956,1197 cc,1st Owner,HR51,Manual,Third Party insurance,490000,514500,775767,21.01 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
444,2019 Maruti Ciaz,2017,Feb-19,Petrol,24237,1373 cc,2nd Owner,UP14,Manual,Third Party insurance,650000,682500,1073945,20.73 kmpl,16,5,1373 CC,91.1bhp,130Nm
445,2016 Hyundai Grand i10,2015,May-16,Diesel,56200,1120 cc,1st Owner,HR51,Manual,Third Party insurance,369939,388436,727711,24 kmpl,5,Silver,1120 CC,70bhp,160Nm
446,2018 Maruti Vitara Brezza,2018,Apr-18,Diesel,82299,1248 cc,2nd Owner,DL3C,Manual,Third Party insurance,696500,731325,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
447,2018 Tata Tiago,2018,May-18,Petrol,43855,1199 cc,1st Owner,DL10,Automatic,Third Party insurance,467826,491217,642326,23.84 kmpl,14,5,1199 CC,83.83bhp,114Nm
448,2012 Hyundai i10,2012,Jun-12,Petrol,64543,1197 cc,1st Owner,DL2C,Automatic,Third Party insurance,326000,342300,586549,16.95 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
